Year,StateAbbr,StateDesc,CityName,AsthmaPct,PopulationCount,Lat,Lng,SmokingPct,Access,Obesity,PhysicalAct,CO2ndMax8hr,NO2Mean1hr,Ozone4thMax8hr,SO2Mean1hr,PM25WeightedMean24hr,PM10Mean24hr,DayswithAQI,GoodDays,ModerateDays,UnhealthyforSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,MaxAQI,90thPercentileAQI,MedianAQI,DaysCO,DaysNO2,DaysOzone,DaysSO2,DaysPM25,DaysPM10,RenterOccupiedPct,UnempRatePct,CashPublicAssistPct,SNAPPct,NoHealthInsCovPct,BelowPovLevelPct
2016,OH,Ohio,Dayton,11.5,141527,39.779768039,-84.1997930517,28.5,14.2,43.5,36.5,0.9,,0.072,0.0,9.1,19.0,366,246,113,7,0,0,0,112,72,44,0,0,238,1,127,0,53.1,13.3,6,30.2,12.9,34.5
2016,OH,Ohio,Parma,9.4,81601,41.3842399838,-81.728599153,23.7,9.4,27.7,23.6,,,,,,,,,,,,,,,,,,,,,,,29.5,7,2.7,11.2,7.7,10.2
2016,OH,Ohio,Toledo,11.1,287208,41.6637399604,-83.5823818449,26.7,13.4,38.3,32.8,,,0.07,1.0,8.9,,366,282,79,5,0,0,0,115,61,40,0,0,185,32,149,0,51.8,12,4.6,26.5,10.4,27.5
2016,OH,Ohio,Youngstown,11.3,66982,41.0993286607,-80.6463187081,30.9,17.5,42.0,41.2,,,0.071,0.0,8.2,16.0,366,239,121,6,0,0,0,143,67,44,0,0,198,0,168,0,41.5,,,,,
2016,OK,Oklahoma,Broken Arrow,9.3,98850,36.0366324911,-95.7809572414,16.6,12.6,26.9,23.9,,,,,,,,,,,,,,,,,,,,,,,25.9,5.4,2,6.3,11,8
2016,OK,Oklahoma,Edmond,9.1,81405,35.6689350516,-97.4159205309,14.2,11.1,27.0,21.0,,,,,,,,,,,,,,,,,,,,,,,31.7,3.5,1.3,5.3,7.9,10
2016,OK,Oklahoma,Lawton,10.1,96867,34.6170564899,-98.4203934803,22.3,18.2,32.3,32.1,,,0.062,,6.8,,366,309,57,0,0,0,0,90,54,40,0,0,284,0,82,0,56.0,9.6,4.1,18.2,16,19
2016,OK,Oklahoma,Norman,9.6,110925,35.2335032647,-97.3470413838,16.8,13.3,32.0,25.4,,,,,,,,,,,,,,,,,,,,,,,44.9,5.4,2.2,9.5,11,17.9
2016,OK,Oklahoma,Oklahoma City,10.1,579999,35.467564288,-97.5137615524,18.8,18.9,32.9,29.7,1.1,17.0,0.068,0.0,7.6,22.0,366,264,99,3,0,0,0,129,66,44,0,26,229,0,109,2,40.8,5.6,3.5,14.6,17.1,17.8
2016,OK,Oklahoma,Tulsa,10.3,391906,36.1284213425,-95.9036195464,19.5,18.1,30.8,30.2,1.6,7.0,0.064,1.0,9.5,19.0,366,233,130,2,1,0,0,164,67,46,0,1,214,0,151,0,50.7,6.9,3.2,16.1,18.4,20.3
2016,OR,Oregon,Beaverton,9.6,89803,45.4795765674,-122.814973469,14.3,10.7,28.6,14.9,,,,,,,,,,,,,,,,,,,,,,,50.4,7.9,3.5,13.9,11.5,13.4
2016,OR,Oregon,Bend,9.7,76639,44.0561827184,-121.308690416,15.1,8.9,25.9,14.0,,,,,,,327,322,5,0,0,0,0,61,37,22,0,0,0,0,327,0,41.7,5.6,1.9,15.1,13.7,12.4
2016,OR,Oregon,Eugene,10.2,156185,44.0559363346,-123.117327584,17.5,10.5,27.1,16.6,,,0.057,,6.7,15.0,366,299,66,1,0,0,0,108,58,34,0,0,141,0,223,2,51.3,8.3,3.3,20.2,10.1,23.1
2016,OR,Oregon,Gresham,10.2,105594,45.5024256798,-122.441469029,20.2,14.0,25.4,18.3,,,,,,,,,,,,,,,,,,,,,,,46.5,8.8,7.1,26.2,12.5,20.4
2016,OR,Oregon,Hillsboro,9.7,91611,45.529027994,-122.937442209,15.2,12.2,29.4,15.8,1.3,13.0,0.064,0.0,5.9,10.0,366,300,64,2,0,0,0,108,59,35,0,14,229,0,123,0,46.9,6.3,3.2,14.8,9.8,12.9
2016,OR,Oregon,Medford,11.1,74907,42.3371987584,-122.853625909,22.2,13.7,28.7,18.2,,,0.049,,7.2,,366,306,60,0,0,0,0,81,55,35,0,0,112,0,254,0,50.3,7.6,4.5,25,12.1,21.4
2016,OR,Oregon,Portland,9.5,583776,45.537180654,-122.650032751,16.0,9.8,22.9,14.6,1.3,13.0,0.064,0.0,5.9,10.0,366,300,64,2,0,0,0,108,59,35,0,14,229,0,123,0,48.0,7.5,4.1,19.2,10.2,16.9
2016,OR,Oregon,Salem,10.4,154637,44.923273154,-123.0248671,18.7,13.9,34.5,19.2,,,0.065,,,,361,325,36,0,0,0,0,97,50,30,0,0,147,0,214,0,45.4,9,7,24,11.7,17.2
2016,PA,Pennsylvania,Allentown,10.7,118032,40.596099618,-75.4755373968,21.9,18.9,37.8,32.0,,11.0,0.075,1.0,10.5,12.0,366,174,181,10,0,1,0,217,75,51,0,6,128,1,231,0,57.5,,,,,
2016,PA,Pennsylvania,Bethlehem,10.1,74982,40.6266402578,-75.3679048175,19.3,12.6,33.4,27.1,,11.0,0.075,1.0,10.5,12.0,366,174,181,10,0,1,0,217,75,51,0,6,128,1,231,0,48.9,6.7,8.2,18.7,9.6,17
2016,PA,Pennsylvania,Erie,11.2,101786,42.1164698754,-80.0730358517,24.5,12.3,39.7,28.7,0.6,5.0,0.067,,7.7,10.0,366,295,69,2,0,0,0,129,56,39,0,3,238,0,125,0,48.3,9.3,6.3,27.9,8.9,26.4
2016,PA,Pennsylvania,Philadelphia,11.6,1526006,40.0093147808,-75.1333888571,22.8,13.9,30.3,27.7,1.9,16.0,0.08,2.0,11.0,39.0,366,122,224,18,2,0,0,154,88,57,0,8,134,3,214,7,47.9,12.5,7.7,25.3,12,25.9
2016,PA,Pennsylvania,Pittsburgh,10.6,305704,40.4396297486,-79.9762614995,20.9,9.2,32.3,23.2,2.6,11.0,0.073,4.0,10.6,23.0,366,116,220,29,1,0,0,152,94,58,0,1,112,18,235,0,52.8,7.7,4.3,17.3,7.8,22.3
2016,PA,Pennsylvania,Reading,11.7,88082,40.3399678686,-75.9266128837,24.4,25.1,42.5,39.8,,,0.075,0.0,11.4,,366,222,137,7,0,0,0,129,68,46,0,0,158,0,208,0,59.2,18.8,7.4,44.3,16.9,39.3
2016,PA,Pennsylvania,Scranton,10.7,76089,41.4043729362,-75.6649126898,22.7,11.8,32.8,28.0,0.9,10.0,0.071,1.0,8.2,13.0,366,290,72,4,0,0,0,129,64,41,0,4,250,0,112,0,52.0,7.8,5.5,22.9,9.4,23.1
2016,RI,Rhode Island,Cranston,11.3,80387,41.7658017135,-71.4861485002,17.2,9.4,26.1,24.9,,,,,,,,,,,,,,,,,,,,,,,31.0,7.8,2.8,10.4,6.8,10.3
2016,RI,Rhode Island,Pawtucket,12.9,71148,41.8744534517,-71.3743580803,21.0,13.3,30.7,31.2,,,,,,,,,,,,,,,,,,,,,,,57.5,11.6,3.4,26,11.8,19.9
2016,RI,Rhode Island,Providence,12.4,178042,41.823480533,-71.4218129335,19.2,16.5,32.3,34.0,1.8,20.0,0.076,1.0,9.3,15.0,366,265,95,5,1,0,0,151,65,44,0,40,191,0,135,0,66.9,11,6.1,32.1,14.1,28.2
2016,RI,Rhode Island,Warwick,11.4,82672,41.7064727301,-71.4345615049,19.6,7.5,28.4,21.1,1.8,20.0,0.076,1.0,9.3,15.0,366,265,95,5,1,0,0,151,65,44,0,40,191,0,135,0,33.5,7,2.8,11.5,5.6,6.9
2016,SC,South Carolin,Charleston,8.8,120083,32.8136961892,-79.967381899,15.9,12.3,29.1,20.8,,,0.058,0.0,,16.0,360,310,45,3,2,0,0,158,53,37,0,4,182,0,172,2,,,,,,
2016,SC,South Carolin,Columbia,9.4,129272,34.0366069566,-80.9037852694,18.8,17.5,35.2,28.3,0.9,,0.07,0.0,8.1,15.0,366,254,107,3,2,0,0,168,61,44,0,1,204,0,161,0,,,,,,
2016,SC,South Carolin,Mount Pleasant,7.8,67843,32.8538274584,-79.8230343029,13.0,9.1,24.0,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,SC,South Carolin,North Charleston,10.1,97471,32.9100915071,-80.0738525014,21.7,20.9,36.1,30.3,,,0.058,0.0,,16.0,360,310,45,3,2,0,0,158,53,37,0,4,182,0,172,2,,,,,,
